id;codeFrom;codeTo;ctrCodeTo;url;desc;price
1;HNY;SVX;RU;https://voyanga.com/land/RU/HNY/SVX/trip/OW;из Хэнъянина в Екатеринбург;
2;XMN;SVX;RU;https://voyanga.com/land/RU/XMN/SVX/trip/OW;из Xiamen в Екатеринбург;67140
3;AER;SVX;RU;https://voyanga.com/land/RU/AER/SVX/;из Сочи Адлера в Екатеринбург;11373
4;AAQ;SVX;RU;https://voyanga.com/land/RU/AAQ/SVX/;из Анапы в Екатеринбург;13594
5;AYT;SVX;RU;https://voyanga.com/land/RU/AYT/SVX/trip/OW;из Анталии в Екатеринбург;
6;ATH;SVX;RU;https://voyanga.com/land/RU/ATH/SVX/trip/OW;из Афины в Екатеринбург;
7;BCN;SVX;RU;https://voyanga.com/land/RU/BCN/SVX/trip/OW;из Барселоны в Екатеринбург;13057
8;BOD;SVX;RU;https://voyanga.com/land/RU/BOD/SVX/trip/OW;из Бордо в Екатеринбург;
9;YVR;SVX;RU;https://voyanga.com/land/RU/YVR/SVX/trip/OW;из Ванкувера в Екатеринбург;
10;VRN;SVX;RU;https://voyanga.com/land/RU/VRN/SVX/trip/OW;из Вероны в Екатеринбург;14217
11;VOG;SVX;RU;https://voyanga.com/land/RU/VOG/SVX/;из Волгограда в Екатеринбург;
12;DXB;SVX;RU;https://voyanga.com/land/RU/DXB/SVX/trip/OW;из Дубая в Екатеринбург;
13;KGD;SVX;RU;https://voyanga.com/land/RU/KGD/SVX/;из Калининграда в Екатеринбург;12015
14;KTM;SVX;RU;https://voyanga.com/land/RU/KTM/SVX/trip/OW;из Катманду в Екатеринбург;45636
15;CTA;SVX;RU;https://voyanga.com/land/RU/CTA/SVX/trip/OW;из Catania в Екатеринбург;
16;CMB;SVX;RU;https://voyanga.com/land/RU/CMB/SVX/trip/OW;из Коломбо в Екатеринбург;
17;LIS;SVX;RU;https://voyanga.com/land/RU/LIS/SVX/trip/OW;из Лиссабона в Екатеринбург;15086
18;MAD;SVX;RU;https://voyanga.com/land/RU/MAD/SVX/trip/OW;из Мадрида в Екатеринбург;9776
19;MOW;SVX;RU;https://voyanga.com/land/RU/MOW/SVX/;из Москвы в Екатеринбург;6195
20;MUC;SVX;RU;https://voyanga.com/land/RU/MUC/SVX/trip/OW;из Мюнхена в Екатеринбург;12144
21;NJC;SVX;RU;https://voyanga.com/land/RU/NJC/SVX/;из Нижневартовска в Екатеринбург;13990
22;NCE;SVX;RU;https://voyanga.com/land/RU/NCE/SVX/trip/OW;из Ниццы в Екатеринбург;
23;NYC;SVX;RU;https://voyanga.com/land/RU/NYC/SVX/trip/OW;из Нью-Йорка в Екатеринбург;20100
24;BJS;SVX;RU;https://voyanga.com/land/RU/BJS/SVX/trip/OW;из Пекина в Екатеринбург;22487
25;PRG;SVX;RU;https://voyanga.com/land/RU/PRG/SVX/trip/OW;из Праги в Екатеринбург;13137
26;HKT;SVX;RU;https://voyanga.com/land/RU/HKT/SVX/trip/OW;из Пхукета в Екатеринбург;12049
27;ROM;SVX;RU;https://voyanga.com/land/RU/ROM/SVX/trip/OW;из Рима в Екатеринбург;
28;ROV;SVX;RU;https://voyanga.com/land/RU/ROV/SVX/;из Ростова-На-Дону в Екатеринбург;
29;LED;SVX;RU;https://voyanga.com/land/RU/LED/SVX/;из Санкт-Петербурга в Екатеринбург;9073
30;STW;SVX;RU;https://voyanga.com/land/RU/STW/SVX/;из Ставрополя в Екатеринбург;
31;IST;SVX;RU;https://voyanga.com/land/RU/IST/SVX/trip/OW;из Стамбула в Екатеринбург;15764
32;SZR;SVX;RU;https://voyanga.com/land/RU/SZR/SVX/trip/OW;из Стара Загоры в Екатеринбург;
33;STO;SVX;RU;https://voyanga.com/land/RU/STO/SVX/trip/OW;из Стокгольма в Екатеринбург;
34;TLV;SVX;RU;https://voyanga.com/land/RU/TLV/SVX/trip/OW;из Тель-Авива в Екатеринбург;18537
35;TYO;SVX;RU;https://voyanga.com/land/RU/TYO/SVX/trip/OW;из Токио в Екатеринбург;
36;YTO;SVX;RU;https://voyanga.com/land/RU/YTO/SVX/trip/OW;из Торонто в Екатеринбург;
37;HMA;SVX;RU;https://voyanga.com/land/RU/HMA/SVX/;из Ханты-Мансийска в Екатеринбург;16211
38;OSS;SVX;RU;https://voyanga.com/land/RU/OSS/SVX/trip/OW;из Оша в Екатеринбург;
39;HNY;MOW;RU;https://voyanga.com/land/RU/HNY/MOW/trip/OW;из Хэнъянина в Москву;
40;HER;MOW;RU;https://voyanga.com/land/RU/HER/MOW/trip/OW;из Ираклиона в Москву;
41;BPN;MOW;RU;https://voyanga.com/land/RU/BPN/MOW/trip/OW;из Баликпапана в Москву;
42;BNK;MOW;RU;https://voyanga.com/land/RU/BNK/MOW/trip/OW;из Баллины в Москву;
43;KBV;MOW;RU;https://voyanga.com/land/RU/KBV/MOW/trip/OW;из Краби в Москву;
44;MLE;MOW;RU;https://voyanga.com/land/RU/MLE/MOW/trip/OW;из Мале в Москву;12586
45;MYR;MOW;RU;https://voyanga.com/land/RU/MYR/MOW/trip/OW;из Миртли Бич в Москву;
46;BOJ;MOW;RU;https://voyanga.com/land/RU/BOJ/MOW/trip/OW;из Бургаса в Москву;7731
47;XMN;MOW;RU;https://voyanga.com/land/RU/XMN/MOW/trip/OW;из Xiamen в Москву;
48;ZAD;MOW;RU;https://voyanga.com/land/RU/ZAD/MOW/trip/OW;из Задара в Москву;
49;ABA;MOW;RU;https://voyanga.com/land/RU/ABA/MOW/;из Абакана в Москву;10968
