id;ctrCode;url;desc;price
1;AD;https://voyanga.com/land/hotels/AD/;Отели в Андорре;
2;PR;https://voyanga.com/land/hotels/PR/;Отели в Пуэрто-Риковиче;
3;VI;https://voyanga.com/land/hotels/VI/;Отели в Вирджинские Острова (Сша);
4;AZ;https://voyanga.com/land/hotels/AZ/;Отели в Азербайджане;10503
5;AQ;https://voyanga.com/land/hotels/AQ/;Отели в Антарктике;
6;AU;https://voyanga.com/land/hotels/AU/;Отели в Австралии;5137
7;AT;https://voyanga.com/land/hotels/AT/;Отели в Австрии;2426
8;AX;https://voyanga.com/land/hotels/AX/;Отели в Аландские Острове;
9;AL;https://voyanga.com/land/hotels/AL/;Отели в Албании;
10;DZ;https://voyanga.com/land/hotels/DZ/;Отели в Алжире;
11;AS;https://voyanga.com/land/hotels/AS/;Отели в Американское Самоа;
12;AI;https://voyanga.com/land/hotels/AI/;Отели в Ангилье;
13;AO;https://voyanga.com/land/hotels/AO/;Отели в Анголе;
14;AG;https://voyanga.com/land/hotels/AG/;Отели в Антигуа И Барбуде;
15;AR;https://voyanga.com/land/hotels/AR/;Отели в Аргентине;1309
16;AM;https://voyanga.com/land/hotels/AM/;Отели в Армении;5805
17;AW;https://voyanga.com/land/hotels/AW/;Отели в Арубе;
18;AF;https://voyanga.com/land/hotels/AF/;Отели в Афганистане;
19;BS;https://voyanga.com/land/hotels/BS/;Отели в Багамские Острове;
20;BD;https://voyanga.com/land/hotels/BD/;Отели в Бангладеше;
21;BB;https://voyanga.com/land/hotels/BB/;Отели в Барбадосе;
22;BH;https://voyanga.com/land/hotels/BH/;Отели в Бахрейне;
23;BY;https://voyanga.com/land/hotels/BY/;Отели в Беларуси;11659
24;BZ;https://voyanga.com/land/hotels/BZ/;Отели в Белизе;
25;BE;https://voyanga.com/land/hotels/BE/;Отели в Бельгии;
26;BJ;https://voyanga.com/land/hotels/BJ/;Отели в Бенине;
27;BM;https://voyanga.com/land/hotels/BM/;Отели в Бермудские Острове;
28;BG;https://voyanga.com/land/hotels/BG/;Отели в Болгарии;1909
29;BO;https://voyanga.com/land/hotels/BO/;Отели в Боливии;
30;BA;https://voyanga.com/land/hotels/BA/;Отели в Босния И Герцеговине;
31;BW;https://voyanga.com/land/hotels/BW/;Отели в Ботсване;
32;BR;https://voyanga.com/land/hotels/BR/;Отели в Бразилии;2268
33;VG;https://voyanga.com/land/hotels/VG/;Отели в Британские Виргинские Острове;
34;BN;https://voyanga.com/land/hotels/BN/;Отели в Брунее;
35;BF;https://voyanga.com/land/hotels/BF/;Отели в Буркина-Фасо;
36;BI;https://voyanga.com/land/hotels/BI/;Отели в Бурунди;
37;BT;https://voyanga.com/land/hotels/BT/;Отели в Бутане;
38;VU;https://voyanga.com/land/hotels/VU/;Отели в Вануате;
39;GB;https://voyanga.com/land/hotels/GB/;Отели в Великобритании;2408
40;HU;https://voyanga.com/land/hotels/HU/;Отели в Венгрии;2873
41;VE;https://voyanga.com/land/hotels/VE/;Отели в Венесуэле;
42;TL;https://voyanga.com/land/hotels/TL/;Отели в Восточный Тиморе;
43;VN;https://voyanga.com/land/hotels/VN/;Отели в Вьетнаме;
44;GA;https://voyanga.com/land/hotels/GA/;Отели в Габоне;
45;HT;https://voyanga.com/land/hotels/HT/;Отели в Гаити;
46;GY;https://voyanga.com/land/hotels/GY/;Отели в Гайане;
47;GM;https://voyanga.com/land/hotels/GM/;Отели в Гамбии;
48;GH;https://voyanga.com/land/hotels/GH/;Отели в Гане;
49;GP;https://voyanga.com/land/hotels/GP/;Отели в Гваделупе;
50;GT;https://voyanga.com/land/hotels/GT/;Отели в Гватемале;
51;GN;https://voyanga.com/land/hotels/GN/;Отели в Гвинее;
52;GW;https://voyanga.com/land/hotels/GW/;Отели в Гвинея-Бисау;
53;DE;https://voyanga.com/land/hotels/DE/;Отели в Германии;1898
54;GG;https://voyanga.com/land/hotels/GG/;Отели в Гернси;
55;GI;https://voyanga.com/land/hotels/GI/;Отели в Гибралтаре;
56;HN;https://voyanga.com/land/hotels/HN/;Отели в Гондурасе;
57;HK;https://voyanga.com/land/hotels/HK/;Отели в Гонконге;3897
58;VA;https://voyanga.com/land/hotels/VA/;Отели в Город-Государство Ватикане;
59;GD;https://voyanga.com/land/hotels/GD/;Отели в Гренаде;
60;GL;https://voyanga.com/land/hotels/GL/;Отели в Гренландии;
61;GR;https://voyanga.com/land/hotels/GR/;Отели в Греции;1560
62;GE;https://voyanga.com/land/hotels/GE/;Отели в Грузии;
63;GU;https://voyanga.com/land/hotels/GU/;Отели в Гуаме;
64;DK;https://voyanga.com/land/hotels/DK/;Отели в Дании;5902
65;DJ;https://voyanga.com/land/hotels/DJ/;Отели в Джибути;
66;DM;https://voyanga.com/land/hotels/DM/;Отели в Доминике;
67;DO;https://voyanga.com/land/hotels/DO/;Отели в Доминиканская Республике;3911
68;EG;https://voyanga.com/land/hotels/EG/;Отели в Египте;830
69;ZM;https://voyanga.com/land/hotels/ZM/;Отели в Замбии;
70;EH;https://voyanga.com/land/hotels/EH/;Отели в Западная Сахаре;
71;ZW;https://voyanga.com/land/hotels/ZW/;Отели в Зимбабве;
