id;codeTo;ctrCodeTo;url;desc;price
1;ALG;DZ;https://voyanga.com/land/DZ/ALG/;в Алжир;
2;BPN;ID;https://voyanga.com/land/ID/BPN/;в Баликпапан;43236
3;BNK;AU;https://voyanga.com/land/AU/BNK/;в Баллину;
4;BOJ;BG;https://voyanga.com/land/BG/BOJ/;в Бургас;2724
5;BRK;AU;https://voyanga.com/land/AU/BRK/;в Боюрку;
6;CXR;VN;https://voyanga.com/land/VN/CXR/;в Камрань;
7;CUN;MX;https://voyanga.com/land/MX/CUN/;в Канкуна;2990
8;CSI;AU;https://voyanga.com/land/AU/CSI/;в Касино;
9;CTA;IT;https://voyanga.com/land/IT/CTA/;в Catania;2166
10;MAA;IN;https://voyanga.com/land/IN/MAA/;в Ченная;22303
11;CUU;MX;https://voyanga.com/land/MX/CUU/;в Чиуауа;
12;DVO;PH;https://voyanga.com/land/PH/DVO/;в Давао;49407
13;DPS;ID;https://voyanga.com/land/ID/DPS/;в Денпасару;27307
14;DLA;CM;https://voyanga.com/land/CM/DLA/;в Дуала;42597
15;ETH;IL;https://voyanga.com/land/IL/ETH/;в Еилат;2024
16;ECN;CY;https://voyanga.com/land/CY/ECN/;в Ercan;11887
17;HAK;CN;https://voyanga.com/land/CN/HAK/;в Хайкоу;
18;HNY;CN;https://voyanga.com/land/CN/HNY/;в Хэнъянина;
19;HER;GR;https://voyanga.com/land/GR/HER/;в Ираклион;20000
20;HUI;VN;https://voyanga.com/land/VN/HUI/;в Hu Pg;
21;IVL;FI;https://voyanga.com/land/FI/IVL/;в Ивало;5576
22;EFL;GR;https://voyanga.com/land/GR/EFL/;в Кифалониа;43123
23;KBV;TH;https://voyanga.com/land/TH/KBV/;в Крабь;5003
24;MLE;MV;https://voyanga.com/land/MV/MLE/;в Мале;5577
25;MYR;US;https://voyanga.com/land/US/MYR/;в Миртли Бич;40344
26;RHO;GR;https://voyanga.com/land/GR/RHO/;в Rhodes;3617
27;SYX;CN;https://voyanga.com/land/CN/SYX/;в Sanya;6701
28;SKE;NO;https://voyanga.com/land/NO/SKE/;в Скиин;
29;JTR;GR;https://voyanga.com/land/GR/JTR/;в Thira Island;
30;XMN;CN;https://voyanga.com/land/CN/XMN/;в Xiamen;55553
31;RGN;MM;https://voyanga.com/land/MM/RGN/;в Yangon;43018
32;ZAD;HR;https://voyanga.com/land/HR/ZAD/;в Задара;9807
33;ABA;RU;https://voyanga.com/land/RU/ABA/;в Абакан;10177
34;AUH;AE;https://voyanga.com/land/AE/AUH/;в Абу-Дабь;12779
35;AER;RU;https://voyanga.com/land/RU/AER/;в Сочи Адлер;7683
36;ALC;ES;https://voyanga.com/land/ES/ALC/;в Аликанте;1476
37;ALA;KZ;https://voyanga.com/land/KZ/ALA/;в Алмата;6855
38;QYM;NL;https://voyanga.com/land/NL/QYM/;в Амерсфорт;
39;AMS;NL;https://voyanga.com/land/NL/AMS/;в Амстердам;2709
40;DYR;RU;https://voyanga.com/land/RU/DYR/;в Анадырь;
41;AAQ;RU;https://voyanga.com/land/RU/AAQ/;в Анапу;
42;AYT;TR;https://voyanga.com/land/TR/AYT/;в Анталию;5259
43;ANR;BE;https://voyanga.com/land/BE/ANR/;в Антверпен;76122
44;ARH;RU;https://voyanga.com/land/RU/ARH/;в Архангельск;
45;TSE;KZ;https://voyanga.com/land/KZ/TSE/;в Астана;10220
46;ASF;RU;https://voyanga.com/land/RU/ASF/;в Астрахань;
47;ATL;US;https://voyanga.com/land/US/ATL/;в Атлант;5688
48;GUW;KZ;https://voyanga.com/land/KZ/GUW/;в Атырау;18529
49;AGB;DE;https://voyanga.com/land/DE/AGB/;в Аугсбурга;
50;ATH;GR;https://voyanga.com/land/GR/ATH/;в Афину;3676
51;AJA;FR;https://voyanga.com/land/FR/AJA/;в Аяччо;3669
52;BAK;AZ;https://voyanga.com/land/AZ/BAK/;в Бак;8127
53;BLR;IN;https://voyanga.com/land/IN/BLR/;в Бангалор;2858
54;BKK;TH;https://voyanga.com/land/TH/BKK/;в Бангкок;4290
55;BCN;ES;https://voyanga.com/land/ES/BCN/;в Барселону;2539
56;BTR;US;https://voyanga.com/land/US/BTR/;в Батон-Руж;99429
57;BEY;LB;https://voyanga.com/land/LB/BEY/;в Бейрут;5324
58;EGO;RU;https://voyanga.com/land/RU/EGO/;в Белгород;
59;BEG;RS;https://voyanga.com/land/RS/BEG/;в Белград;3324
60;BGY;IT;https://voyanga.com/land/IT/BGY/;в Бергамо;2051
61;BER;DE;https://voyanga.com/land/DE/BER/;в Берлин;2691
62;BIO;ES;https://voyanga.com/land/ES/BIO/;в Бильбао;8308
63;FRU;KG;https://voyanga.com/land/KG/FRU/;в Бишкек;7311
64;BQS;RU;https://voyanga.com/land/RU/BQS/;в Благовещенск;
65;BOG;CO;https://voyanga.com/land/CO/BOG/;в Богота;24638
66;BLQ;IT;https://voyanga.com/land/IT/BLQ/;в Болонью;3948
67;BOB;PF;https://voyanga.com/land/PF/BOB/;в Бора-Бора;508318
68;BOD;FR;https://voyanga.com/land/FR/BOD/;в Бордо;12553
