iata_code|icao_code|airport_name_ru|airport_name_en|city_ru|city_en|gmt_offset|country_code|latitude|longitude|website
AAA|NTGA|Анаа|Anaa|Анаа|Anaa|+10.0|PF|-17.355000|-145.508333|
AAB|YARY||Arrabury||Arrabury|-10.0|AU|-26.690556|141.047500|
AAC|HEAR||Al Arish International Airport|Аль-Ариш|Al Arish|+2.0|EG|31.073333|33.835833|
AAD|TVSV||Ad-Dabbah||Ad-Dabbah|+3.0|SD|17.592777777778|33.959166666667|
AAE|DABB||Les Salines||Annaba|+1.0|DZ|36.822222|7.809444|
AAF|KAAF||Municipal||Apalachicola|-5.0|US|29.727607|-85.027442|
AAG|SSYA||Arapoti||Arapoti|+0.0|BR|-24.103875|-49.789078|
AAH|EDKA||Aachen/Merzbruck|Аахен|Aachen|+1.0|DE|50.823056|6.186111|http://www.flugplatz-aachen.de/
AAI|SWRA||Arraias||Arraias|+3.0|BR|-13.025|-46.884|
AAJ|SMCA||Cayana Airstrip|Аварадам|Awaradam|-3.0|SR|3.898611|-55.577778|
AAK|NGUK|Аранука|Aranuka|Аранука|Aranuka|-12.0|KI|0.185278|173.636667|
AAL|EKYT|Аальборг|Aalborg|Аальбург|Aalborg|-1.0|DK|57.092789|9.849164|http://www.aal.dk/
AAM|FAMD|Мала-Мала|Mala Mala|Мала-Мала|Mala Mala|+2.0|ZA|-24.818111|31.544584|
AAN|OMAL|Эль-Аин|Al Ain|Аль-Айн|Al Ain|+4.0|AE|24.261667|55.609167|
AAO|SVAN|Анако|Anaco|Анако|Anaco|-4.0|VE|9.430225|-64.470725|
AAP|BGAG||Andrau Airpark||Houston, TX|-6.0|US|72.886944|-55.596111|
AAQ|URKA|Витязево|Vityazevo|Анапа|Anapa|+3.0|RU|45.002097|37.347272|http://www.anapa-airport.ru
AAR|EKAH||Aarhus Airport|Аарус|Aarhus|+1.0|DK|56.300017|10.619008|http://www.aar.dk
AAS|||Apalapsili||Apalapsili|+9.0|ID|-3.883|139.283|
AAT|ZWAT|Алтай|Altay|Алтай|Altay|-8.0|CN|47.749|88.089|
AAU|NSAU|Асау|Asau|Асау|Asau|-11.0|WS|-13.505778|-172.627972|
AAV|RPMA||Allah Valley||Surallah|+8.0|PH|6.366817|124.751294|
AAW|OPAB||Abbottabad||Abbottabad|+5.0|PK|34.150|73.217|
AAX|SBAX||Araxa||Araxa|+3.0|BR|-19.563247|-46.960358|
AAY|OYGD|Аль-Гайда|Al Ghaydah|Аль-Гайда|Al Ghaydah|-3.0|YE|16.191666|52.175000|
AAZ|MGQZ||Ambriz||Ambriz|-1.0|AO|14.865550|-91.501981|
ABA|UNAA|Абакан|Abakan|Абакан|Abakan|+7.0|RU|53.740000|91.385000|http://www.abakan-airport.ru
ABB|EGUD||RAF Station|Абингдон|Abingdon|+0.0|GB|51.690556|-1.316667|
ABC|LEAB||Los Llanos|Албасет|Albacete|+1.0|ES|38.948528|-1.863517|
ABD|OIAA|Абадан|Abadan|Абадан|Abadan|-3.5|IR|30.371111|48.228333|
ABF|NGAB|Абайянг|Abaiang|Абайянг|Abaiang|+12.0|KI|1.798611|173.040556|
ABG|YABI|Абингдон|Abingdon|Абингдон|Abingdon|-10.0|AU|-17.617|143.167|
ABH|YAPH|Альфа|Alpha||Alpha|-10.0|AU|-23.646111|146.583611|
ABI|KABI||Municipal||Abilene|-6.0|US|32.411306|-99.681889|
ABJ|DIAP||Felix Houphouet Boigny|Абиджан|Abidjan|+0.0|CI|5.261386|-3.926294|
ABK|HAKD|Кабри-Дар|Kabri Dar|Кабри-Дар|Kabri Dar|+3.0|ET|6.734|44.253|
ABL|PAFM|Амблер|Ambler||Ambler|-9.0|US|67.106314|-157.857472|
ABM|YBAM||Bamaga Injinoo||Bamaga, Queensland|-10.0|AU|-10.950833|142.459444|
ABN|SMBN|Альбина|Albina|Альбина|Albina|+3.0|SR|5.513|-54.050|
ABO|DIAO||Aboisso||Aboisso|+0.0|CI|5.433|-3.267|
ABP||Аткамба|Atkamba|Аткамба|Atkamba|-10.0|PG|-6.050|141.083|
ABQ|KABQ||Albuquerque International|Альбукерк|Albuquerque|-7.0|US|35.040194|-106.609194|http://www.cabq.gov/airport/
ABR|KABR||Municipal||Aberdeen|-5.0|US|45.449056|-98.421833|
ABS|HEBL|Абу-Симбель|Abu Simbel|Абу-Симбель|Abu Simbel|+2.0|EG|22.375953|31.611722|
ABT|OEBA||Al-Aqiq||Al-Baha|-3.0|SA|20.296139|41.634277|
ABU|WATA||Atambua||Atambua|+9.0|ID|-9.074444|124.904444|
ABV|DNAA||Nnamdi Azikiwe International Airport|Абуджа|Abuja|+1.0|NG|9.006792|7.263172|
